Usa,26767229
Italia,10758619
Brazil,9204731
Russia,3868731
Uk,3817176
France,3197114
Spain,2830478
Italy,2553032
Turkey,2477463
Germany,2225659
Colombia,2094884
Argentina,1927239
Mexico,1864260
Poland,1513385
South Aftrica,1453761
Iran,1417999
Ukraine,1221485
Peru,1138239
Indonesia,1078314
Czehia,987329
Netherlands,987475
Canada,778972
Romania,778972
Chile,727109
Portugal,720153
Belgium,710153
Israel,646277
Iraq,619366
Sweden,566957
Pakistan,546428
Bangladesh,535139
Philipines,527272
Switzerland,521320
Moroco,471157
Austria,414398
Serbia,395263
Japan,386742
Hungary,368710
Saudi Arabia,368074
Jordan,326855
Panama,320379
UAE,303609
Lebanon,301052
Nepal,270959
Georgia,258351
Ecuador,250828
Slovakia,249913
Belarus,248336
Croatia,232426
Azerbaijan,230219
Bulgaria,218748
Bolivia,218748
Malaysia,214959
Dominicn Republic,214060
Tunisia,208885
Denmark,198472
Ireland,196547
Costa Rica,193276
Kazakhstan,187970
Lithuania,182539
Armenia,167088
Slovenia,166473
Egypt,165951
Kuwait,165257
Moldova,159804
Guatemala,159504
Palestine,158962
Grece,156957
Qatar,151335
Honduras,147843
Myanamar,140145
Ethiopia,137650
Oman,134426
Paraguay,133227
Nigeria,131242
Venezuela,126927
Libya,118631
Algeria,107339
Bahrain,103057
Kenya,100773
North Macedonia,92693
China,89564
Uzbekistan,78755
S. Korea,78508
Albania,78127
Ghana,67010
Latvia,66241
Sri Lanka,64157
Norway,62966
Montenegro,61659
Singapore,59565
Singapore,55059
Afghanistan,55059
El Salvador,54966
Zambia,54217
Luxembourg,50699
Finland,45238
Estonia,44208
Uruguay,41738
Uganda,39579
Mozambique,38654
Nambia,33944
Zimbabue,33388
Cyprus,30876
Cameron,29617
Australia,28818
Ivory Coast,28399
Sudan,27202
Cuba,26686
Senegal,26523
Malawi,23963
DRC,22771
Botswana,21293
Angola,19796
Thailand,19618
Madagascar,19065
French Polynesia,18060
Malta,17903
Mauritania,16635
French Guiana,16083
Maldives,5841
Eswaitini,15711
Jamaica,15711
